id;foerderung;investitionsort;traeger_unternehmen;plz;strasse_nr;bewilligungsjahr;foerderbereich;projektbezeichnung;bewilligungssumme;rss_titel
513;Infrastrukturförderung;Charlottenburg-Wilmersdorf;"BA Charlottenburg-Wilmersdorf";10585;"Otto-Suhr-Allee 100";2019;Tourismus;"Tourismusnaher Ausbau Pfad der Erinnerung";248400;"Tourismusnaher Ausbau Pfad der Erinnerung"
258;Infrastrukturförderung;Treptow-Köpenick;"OpTec-Berlin-Brandenburg (OpTecBB) e.V.";12489;"Rudower Chaussee 25";2015;Kooperationsnetzwerk;"Kooperationsnetzwerk ""OpTecBB""";200000;"Kooperationsnetzwerk ""OpTecBB"""
3;Infrastrukturförderung;Pankow;"BA Pankow";13125;"Blankenburger Straße";2013;"Industrie- und Gewerbegelände";"Erschließungstraße Gewerbeareal Heinersdorf Berlin-Pankow";4731300;"Erschließungstraße Gewerbeareal Heinersdorf Berlin-Pankow"
516;Infrastrukturförderung;Spandau;SenBildJugFam;10178;"Bernhard-Weiß-Straße 6";2019;Bildungseinrichtungen;"Digitalisierung im Ausbildungsbereich, Vermessungstechnik an der Knobelsdorff-Schule (OSZ Bautechnik I)";288116;"Digitalisierung im Ausbildungsbereich, Vermessungstechnik an der Knobelsdorff-Schule (OSZ Bautechnik I)"
261;Infrastrukturförderung;Mitte;"Business Applications for the mobile World e. V. c/o init AG";10785;"Potzdamer Platz 10";2014;Kooperationsnetzwerk;"Business Applications for the Mobile World (BA4MW)";293766;"Business Applications for the Mobile World (BA4MW)"
6;Infrastrukturförderung;Treptow-Köpenick;"WISTA Management GmbH";12489;Adlershof;2016;"Industrie- und Gewerbegelände";"Beräumung Gewerbefläche Flurstück 6024 und Rückbau des Gebäude 2.1";341343;"Beräumung Gewerbefläche Flurstück 6024 und Rückbau des Gebäude 2.1"
519;Infrastrukturförderung;Mitte;SenKultEu;10119;"Brunnenstr. 188-190";2019;Tourismus;"Touristische Ertüchtigung und Herstellung der Barrierefreiheit im Berliner Dom";6376500;"Touristische Ertüchtigung und Herstellung der Barrierefreiheit im Berliner Dom"
264;Infrastrukturförderung;Mitte;"Green with IT e.V.";10117;"Charlottenstraße 16";2014;Kooperationsnetzwerk;"""green with IT""";374625;"""green with IT"""
9;Infrastrukturförderung;Treptow-Köpenick;"WISTA.Plan GmbH";12439;Adlershof;2013;"Industrie- und Gewerbegelände";"Beräumung und Erschließung des Gewerbegebietes Gleislinse in Berlin-Schöneweide";20002500;"Beräumung und Erschließung des Gewerbegebietes Gleislinse in Berlin-Schöneweide"
522;Infrastrukturförderung;Pankow;"BA Pankow";13062;"Fröbelstraße 15";2019;Regionalbudget;"Regionalbudget für Weiterentwicklung/Umsetzung der Gewerbeflächenkonzeption im Bezirk Pankow";456000;"Regionalbudget für Weiterentwicklung/Umsetzung der Gewerbeflächenkonzeption im Bezirk Pankow"
267;Infrastrukturförderung;Mitte;"Berlin - Brandenburg Energy Network e.V.";10178;"Sophienstraße 16";2014;Kooperationsnetzwerk;"Erneuerbare Energien - Netzwerk Berlin-Brandenburg";401537;"Erneuerbare Energien - Netzwerk Berlin-Brandenburg"
12;Infrastrukturförderung;Treptow-Köpenick;"WISTA.Plan GmbH";12489;"Köpenicker Straße 1";2015;"Industrie- und Gewerbegelände";"Beräumung Gewerbeflächen Flurstück 7395 und 7397 - A 1903";955567;"Beräumung Gewerbeflächen Flurstück 7395 und 7397 - A 1903"
525;Infrastrukturförderung;;SenUVK;10179;"Am Köllnischen Park 3";2019;Tourismus;"Beschaffung und Errichtung von 68 barrierefreien öffentlichen Toilettenanlagen an touristisch relevanten Standorten im gesamten Stadtgebiet";7032778;"Beschaffung und Errichtung von 68 barrierefreien öffentlichen Toilettenanlagen an touristisch relevanten Standorten im gesamten Stadtgebiet"
270;Infrastrukturförderung;Steglitz-Zehlendorf;"BA Steglitz-Zehlendorf";14160;"Kirchstraße 1/3";2016;Regionalbudget;"Mobilisierung und Stärkung regionaler Wachstumspotentiale durch Aufbau und Bearbeitung umsetzungsorientierter touristischer Angebote unter besonderer Berücksichtigung der Weiterentwicklung von destinationsinternen Potenzialen des Berliner Südwestens";100543;"Mobilisierung und Stärkung regionaler Wachstumspotentiale durch Aufbau und Bearbeitung umsetzungsorientierter touristischer Angebote unter besonderer Berücksichtigung der Weiterentwicklung von destinationsinternen Potenzialen des Berliner Südwestens"
15;Infrastrukturförderung;Marzahn-Hellersdorf;"BA Marzahn-Hellersdorf";12687;"Bitterfelder Straße";2015;"Industrie- und Gewerbegelände";"Erschließung des Industrie- und Gewerbegeländes nördlich der Bitterfelder Straße, östlich der Hohenschönhauser Straße, südlich des Hellersdorfer Weges und östlich entlang der östlichen Grundstücksgrenze des ehemaligen Klärwerkes Falkenberg bzw. auf der Ostseite der Neuen Wuhle mit Straßenanbindung an den nördlichen Teil des Schkopauer Rings in Berlin-Marzahn - sog. Clean- Tech-Business-Park - 3. Bauabschnitt - Maßnahmen zur Aufwertung (Revitalisierung) von Grundstücken im Umfeld des Clean- Tech-Business-Parks";13806000;"Erschließung des Industrie- und Gewerbegeländes nördlich der Bitterfelder Straße, östlich der Hohenschönhauser Straße, südlich des Hellersdorfer Weges und östlich entlang der östlichen Grundstücksgrenze des ehemaligen Klärwerkes Falkenberg bzw. auf der Ostseite der Neuen Wuhle mit Straßenanbindung an den nördlichen Teil des Schkopauer Rings in Berlin-Marzahn - sog. Clean- Tech-Business-Park - 3. Bauabschnitt - Maßnahmen zur Aufwertung (Revitalisierung) von Grundstücken im Umfeld des Clean- Tech-Business-Parks"
528;Infrastrukturförderung;Spandau;"Werner-von-Siemens Center for Industry and Science";13629;"Rohrdamm 88";2019;Innovationscluster;"Innovationscluster Werner-von-Siemens Center for Industry and Science (WvSC)";1308000;"Innovationscluster Werner-von-Siemens Center for Industry and Science (WvSC)"
273;Infrastrukturförderung;Lichtenberg;"BA Lichtenberg";10367;"Möllendorffstraße 6";2016;Regionalbudget;"""Lichtenberg im Wettbewerb"" Wirtschaftsorientiertes Stadtmarketing für den Bezirk Lichtenberg Stadtmarketing im Bezirk Lichtenberg und Intensivierung des lokalen Wettbewerbs durch Aktivitäten zur Imageverbesserung und der Vernetzung lokaler Akteure und Stärkung der regionsbezogenen Identität";278000;"""Lichtenberg im Wettbewerb"" Wirtschaftsorientiertes Stadtmarketing für den Bezirk Lichtenberg Stadtmarketing im Bezirk Lichtenberg und Intensivierung des lokalen Wettbewerbs durch Aktivitäten zur Imageverbesserung und der Vernetzung lokaler Akteure und Stärkung der regionsbezogenen Identität"
18;Infrastrukturförderung;Pankow;"BBB Management GmbH Campus Berlin-Buch";13125;"Robert-Rössle-Straße 10";2016;"Anbindung von Gewerbebetrieben";"Errichtung einer Energieverteilungsanlage zur Erhöhung der Versorgungskapazität des CampusBerlin-Buch mit Elektroenergie";107138;"Errichtung einer Energieverteilungsanlage zur Erhöhung der Versorgungskapazität des CampusBerlin-Buch mit Elektroenergie"
531;Infrastrukturförderung;Berlinweit;SenBildJugFam;10178;"Bernhard-Weiß-Straße 6";2019;Bildungseinrichtungen;"Ausbau von Unterrichtsbereichen im Zuge der Neuordnung der Büroberufe (Berufsfeld I) an fünf berufsbildenden Schulen (insgesamt 6 Standorte)";4253752;"Ausbau von Unterrichtsbereichen im Zuge der Neuordnung der Büroberufe (Berufsfeld I) an fünf berufsbildenden Schulen (insgesamt 6 Standorte)"
276;Infrastrukturförderung;Marzahn-Hellersdorf;"BA Marzahn-Hellersdorf";12681;Marzahn;2015;Regionalbudget;"Marzahn-Hellersdorf - Berlins beste Aussichten! Positionierung des Wirtschaftsstandortes nach Markenbildung ""Berlins beste Aussichten""";782832;"Marzahn-Hellersdorf - Berlins beste Aussichten! Positionierung des Wirtschaftsstandortes nach Markenbildung ""Berlins beste Aussichten"""
21;Infrastrukturförderung;Treptow-Köpenick;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12555;"An der Wuhlheide/Lindenstraße";2014;"Anbindung von Gewerbebetrieben";"Förderung des Neubaus der Pyramidenbrücke über die Wuhle in Berlin Treptow-Köpenick";1504381;"Förderung des Neubaus der Pyramidenbrücke über die Wuhle in Berlin Treptow-Köpenick"
534;Infrastrukturförderung;Mitte;SenBildJugFam;10178;"Bernhard-Weiß-Straße 6";2019;Bildungseinrichtungen;"Ausstattungserweiterung im Bereich 4.0 an der Staatlichen Technikerschule Berlin (STB)";645255;"Ausstattungserweiterung im Bereich 4.0 an der Staatlichen Technikerschule Berlin (STB)"
279;Infrastrukturförderung;Tempelhof-Schöneberg;"Senatsverwaltung für Wirtschaft, Energie und Betriebe";10825;"Martin-Luther-Straße 105";2017;Regionalmanagement;"Intraregionales Regionalmanagement als Geschäftsstelle Zukunftsorte";449365;"Intraregionales Regionalmanagement als Geschäftsstelle Zukunftsorte"
24;Infrastrukturförderung;Pankow;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";13187;"Pasewalker Straße";2014;"Anbindung von Gewerbebetrieben";"Neubau der Löffelbrücke über die Panke";1652529;"Neubau der Löffelbrücke über die Panke"
537;Infrastrukturförderung;Berlinweit;"Berlin-Brandenburg Energy Network e.V.";10117;"Albrechtstraße 22";2020;Kooperationsnetzwerke;"Berlin-Brandenburg ENERGY NETWORK e.V. (BEN)";187500;"Berlin-Brandenburg ENERGY NETWORK e.V. (BEN)"
282;Infrastrukturförderung;Spandau;"BA Spandau";13597;"Carl-Schurz-Straße 2-6";2017;Regionalbudget;"Infrastrukturelle Maßnahmen zur Entwicklung der Tourismuswirtschaft in Spandau";240000;"Infrastrukturelle Maßnahmen zur Entwicklung der Tourismuswirtschaft in Spandau"
27;Infrastrukturförderung;Marzahn-Hellersdorf;"BA Marzahn-Hellersdorf";12591;"Beilsteiner Straße/Pyramidenring";2014;"Anbindung von Gewerbebetrieben";"Bau einer Verbindungsstraße zwischen Beilsteiner Straße und Pyramidenring";4050000;"Bau einer Verbindungsstraße zwischen Beilsteiner Straße und Pyramidenring"
540;Infrastrukturförderung;Pankow;"ABB Ausbildungszentrum Berlin gGmbH";13158;"Lessingstraße 89";2020;Bildungseinrichtungen;"Ergänzende Ausstattung für das Aus- und Weiterbildungszentrums Berlin ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 89, 13158 Berlin";2250000;"Ergänzende Ausstattung für das Aus- und Weiterbildungszentrums Berlin ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 89, 13158 Berlin"
285;Infrastrukturförderung;Spandau;"BA Spandau";13597;"Gutspark Neukladow";2016;Tourismus;"Touristische Geländeerschließung des Gutsparks Neukladow, Neukladower Allee, in Berlin-Spandau";2070000;"Touristische Geländeerschließung des Gutsparks Neukladow, Neukladower Allee, in Berlin-Spandau"
30;Infrastrukturförderung;Treptow-Köpenick;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12459;"Rummelsburger Landstraße";2009;"Anbindung von Gewerbebetrieben";"Neubau einer Straßenbrücke über die Spree zwischen Köpenicker Landstraße und Rummelsburger Landstraße in Berlin-Treptow-Köpenick - 1. BA";1503000;"Neubau einer Straßenbrücke über die Spree zwischen Köpenicker Landstraße und Rummelsburger Landstraße in Berlin-Treptow-Köpenick - 1. BA"
288;Infrastrukturförderung;Neukölln;"Senatsverwaltung für Bildung, Jugend und Familie";12351;"Rudower Straße 184";2017;Bildungseinrichtungen;"Erweiterung der Ausstattung für die Ausbildung der technischen Assistent/innen, Mikrotechnolog/innen und Werkstoffprüfer/innen"" am OSZ Lise-Meitner, Rudower Straße 184 in 12351 Berlin";685838;"Erweiterung der Ausstattung für die Ausbildung der technischen Assistent/innen, Mikrotechnolog/innen und Werkstoffprüfer/innen"" am OSZ Lise-Meitner, Rudower Straße 184 in 12351 Berlin"
33;Infrastrukturförderung;Marzahn-Hellersdorf;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12681;"Landsberger Allee";2016;"Anbindung von Gewerbebetrieben";"Neubau des Verkehrsknotens Landberger Allee / Märkische Allee mit drei Straßenbrücken und zugehörigen Rampen- und Verbindungsfahrbahnen sowie Folgeinstandsetzung des Fußgängertunnels (Verkehrsknoten Marzahn) in Berlin-Marzahn zur verbesserten Anbindung von Gewerbebetrieben und -gebieten an das überregionale Verkehrsnetz - 1. BA - Planungsleistungen Dritter und Bauherrenleistungen -";10062651;"Neubau des Verkehrsknotens Landberger Allee / Märkische Allee mit drei Straßenbrücken und zugehörigen Rampen- und Verbindungsfahrbahnen sowie Folgeinstandsetzung des Fußgängertunnels (Verkehrsknoten Marzahn) in Berlin-Marzahn zur verbesserten Anbindung von Gewerbebetrieben und -gebieten an das überregionale Verkehrsnetz - 1. BA - Planungsleistungen Dritter und Bauherrenleistungen -"
291;Infrastrukturförderung;"Tempelhof Schöneberg";Lette-Verein;10777;"Viktoria-Luise-Platz 6";2016;Bildungseinrichtungen;"Verbesserung der technischen Infrastruktur Teil 2 im Berufsbildungszentrum Lette-Verein";666900;"Verbesserung der technischen Infrastruktur Teil 2 im Berufsbildungszentrum Lette-Verein"
36;Infrastrukturförderung;Treptow-Köpenick;"BA Treptow-Köpenick";12489;"Glienicker Weg";2016;"Anbindung von Gewerbebetrieben";"Neubau des Glienicker Weges von Adlergestell bis Ortsteilgrenze Adlershof-Köpenick von Berlin, 2. Bauabschnitt - Lärmschutz";427781;"Neubau des Glienicker Weges von Adlergestell bis Ortsteilgrenze Adlershof-Köpenick von Berlin, 2. Bauabschnitt - Lärmschutz"
294;Infrastrukturförderung;Treptow-Köpenick;"Berliner Wasserbetriebe";12559;Salvador-Allende-Brücke;2017;"Anbindung von Gewerbebetrieben";"Neubau von Anlagen zur Trinkwasserversorgung im Rahmen des Ersatzneubaus der Salvador-Allende-Brücke im Bezirk Treptow";701278;"Neubau von Anlagen zur Trinkwasserversorgung im Rahmen des Ersatzneubaus der Salvador-Allende-Brücke im Bezirk Treptow"
39;Infrastrukturförderung;Spandau;"BA Spandau";13629;Rohrdamm;2013;"Anbindung von Gewerbebetrieben";"Ausbau des Rohrdamms von Nonnendammallee bis Motardstraße im Bezirk Spandau";1089729;"Ausbau des Rohrdamms von Nonnendammallee bis Motardstraße im Bezirk Spandau"
297;Infrastrukturförderung;Charlottenburg-Wilmersdorf;"Zoologischer Garten Berlin AG";10787;"Hardenbergplatz 8";2017;Tourismus;"Investitionen zur Verbesserung der touristischen Attraktivität des Zoologischen Gartens Berlin";11194040;"Investitionen zur Verbesserung der touristischen Attraktivität des Zoologischen Gartens Berlin"
42;Infrastrukturförderung;Marzahn-Hellersdorf;"BA Marzahn-Hellersdorf";12681;"S-Bhf. Marzahn - Gewerbepark Georg Knorr";2012;"Anbindung von Gewerbebetrieben";"Verkehrliche Anbindung des Gewerbeparks Georg Knorr und des Gewerbegebietes Boxberger Straße (3. Bauabschnitt - Verlängerung der Eastgate - Brücke Marzahn zur fußläufigen Bahnanbindung)";4581000;"Verkehrliche Anbindung des Gewerbeparks Georg Knorr und des Gewerbegebietes Boxberger Straße (3. Bauabschnitt - Verlängerung der Eastgate - Brücke Marzahn zur fußläufigen Bahnanbindung)"
300;Infrastrukturförderung;Lichtenberg;"Tierpark Berlin-Friedrichsfelde gGmbH";10319;"Am Tierpark 125";2017;Tourismus;"Investitionen zur Verbesserung der touristischen Attraktivität des Tierparks Berlin";22500000;"Investitionen zur Verbesserung der touristischen Attraktivität des Tierparks Berlin"
45;Infrastrukturförderung;Marzahn-Hellersdorf;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12681;Rhinstraße;2016;"Anbindung von Gewerbebetrieben";"Neubau der südlichen Rhinstraßenbrücke";11874600;"Neubau der südlichen Rhinstraßenbrücke"
303;Infrastrukturförderung;Steglitz-Zehlendorf;"proITCar e.V.";14163;"Wolzogener Straße 15";2017;Kooperationsnetzwerke;ProITCar;200000;ProITCar
48;Infrastrukturförderung;Charlottenburg-Wilmersdorf;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";14197;"Schlangenbader Straße";2014;"Anbindung von Gewerbebetrieben";"Technische Erneuerung der Überbauung Schlangenbader Straße zur Sicherung der Anbindung von Gewerbebetrieben im Nordwesten und Süden Berlins an das überregionale Verkehrsnetz";5606646;"Technische Erneuerung der Überbauung Schlangenbader Straße zur Sicherung der Anbindung von Gewerbebetrieben im Nordwesten und Süden Berlins an das überregionale Verkehrsnetz"
306;Infrastrukturförderung;Mitte;"Berlin-Brandenburg ENERGY NETWORK e.V.";10177;"Albrechtstraße 22";2017;Kooperationsnetzwerke;"Berlin-Brandenburg ENERGY NETWORK e.V. (BEN) 2. Baustein";200000;"Berlin-Brandenburg ENERGY NETWORK e.V. (BEN) 2. Baustein"
51;Infrastrukturförderung;Treptow-Köpenick;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12559;Salvador-Allende-Brücke;2016;"Anbindung von Gewerbebetrieben";"Ersatzneubau der Salvador-Allende-Brücke über die Müggelspree zur Anbindung angrenzender Gewerbegebiete in Berlin-Treptow-Köpenick, Lichtenberg und Marzahn-Hellersdorf an das überregionale Verkehrsnetz";31965485;"Ersatzneubau der Salvador-Allende-Brücke über die Müggelspree zur Anbindung angrenzender Gewerbegebiete in Berlin-Treptow-Köpenick, Lichtenberg und Marzahn-Hellersdorf an das überregionale Verkehrsnetz"
309;Infrastrukturförderung;Pankow;"Senatsverwaltung für Bildung, Jugend und Familie";13156;"Hermann-Hesse-Straße 34-37";2017;Bildungseinrichtungen;"Neu- und Ausbau des Werkstatttraktes an der Konrad-Zuse-Schule Berlin,";5071500;"Neu- und Ausbau des Werkstatttraktes an der Konrad-Zuse-Schule Berlin,"
54;Infrastrukturförderung;Pankow;"BA Pankow";13125;Wiltbergstraße;2012;"Anbindung von Gewerbebetrieben";"Ausbau der Wiltbergstraße zwischen Karower Chaussee und Straße Am Sandhaus in Berlin Buch";6173855;"Ausbau der Wiltbergstraße zwischen Karower Chaussee und Straße Am Sandhaus in Berlin Buch"
312;Infrastrukturförderung;Charlottenburg-Wilmersdorf;"Senatsverwaltung für Umweltschutz, Verkehr und Klimaschutz";10557;Spree;2017;Tourismus;"Spreeradweg (Bauabschnitt 4 - 6)";4959000;"Spreeradweg (Bauabschnitt 4 - 6)"
57;Infrastrukturförderung;Treptow-Köpenick;"BA Treptow-Köpenick";12437;"Rummelsburger Straße";2012;"Anbindung von Gewerbebetrieben";"Neubau einer Verkehrsverbindung von Rummelsburger Straße bis Köpenicker Landstraße im Bezirk Treptow-Köpenick 3. Bauabschnitt";17522618;"Neubau einer Verkehrsverbindung von Rummelsburger Straße bis Köpenicker Landstraße im Bezirk Treptow-Köpenick 3. Bauabschnitt"
315;Infrastrukturförderung;Mitte;"BA Mitte";10178;"Panoramastr. 1 A";2017;Tourismus;"Touristische Erschließung des Areals am Fernsehturm am Alexanderplatz, 2. BA (Platz des Aufbauhelfers)";276964;"Touristische Erschließung des Areals am Fernsehturm am Alexanderplatz, 2. BA (Platz des Aufbauhelfers)"
60;Infrastrukturförderung;Treptow-Köpenick;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12437;"Rummelsburger Landstraße";2009;"Anbindung von Gewerbebetrieben";"Neubau einer Straßenbrücke mit Stützwänden über die Spree zwischen Köpenicker Landstraße und Rummelsburger Landstraße in Berlin-Treptow-Köpenick - 2. BA";42421500;"Neubau einer Straßenbrücke mit Stützwänden über die Spree zwischen Köpenicker Landstraße und Rummelsburger Landstraße in Berlin-Treptow-Köpenick - 2. BA"
318;Infrastrukturförderung;Treptow-Köpenick;"BA Treptow-Köpenick";12435;Alt-Treptow;2017;Tourismus;"Aufbau eines Netzes von 10 Wasserwanderrastplätzen zur Förderung des überregionalen Wassertourismus in Berlin Treptow-Köpenick";862684;"Aufbau eines Netzes von 10 Wasserwanderrastplätzen zur Förderung des überregionalen Wassertourismus in Berlin Treptow-Köpenick"
63;Infrastrukturförderung;Pankow;"BBB Management Buch GmbH";13125;"Robert-Rössle-Straße 10";2014;"Anbindung von Gewerbebetrieben";"Errichtung eines Kältenah- und Notstromverbundes zwischen Häusern des Innovations- und Gründerzentrums (IGZ) auf dem Campus Berlin-Buch";648608;"Errichtung eines Kältenah- und Notstromverbundes zwischen Häusern des Innovations- und Gründerzentrums (IGZ) auf dem Campus Berlin-Buch"
321;Infrastrukturförderung;Treptow-Köpenick;"WISTA.Plan GmbH";12489;"Köpenicker Straße 1";2017;"Industrie- und Gewerbegelände";"Beräumung Gewerbeflächen Teilfläche ehemaliger Kohlebahnhof - A - 1900 -";621000;"Beräumung Gewerbeflächen Teilfläche ehemaliger Kohlebahnhof - A - 1900 -"
66;Infrastrukturförderung;Pankow;"Berliner Wasserbetriebe";13125;"Blankenburger Straße";2015;"Anbindung von Gewerbebetrieben";"Neulegung von Trinkwasserversorgungsleitungen zwischen Blankenburger Straße 18 und Schmöckpfuhlgraben im Gewerbegebiet Heinersdorf in Berlin-Pankow";482500;"Neulegung von Trinkwasserversorgungsleitungen zwischen Blankenburger Straße 18 und Schmöckpfuhlgraben im Gewerbegebiet Heinersdorf in Berlin-Pankow"
324;Infrastrukturförderung;Tempelhof-Schöneberg;"Campus e.V. Vorstand";12103;"Alboinstraße 36-42";2017;Bildungseinrichtungen;"Erweiterung der Berufsfachschulen des Campus e.V. um eine Fachschule für Heilerziehungspflege";917731;"Erweiterung der Berufsfachschulen des Campus e.V. um eine Fachschule für Heilerziehungspflege"
69;Infrastrukturförderung;Pankow;"Berliner Wasserbetriebe";13125;"Blankenburger Straße";2016;"Anbindung von Gewerbebetrieben";"Neubau eines S-Kanals in der Blankenburger Straße in Berlin-Pankow/Heinersdorf zwischen Blankenburger Straße 18 und Schmöckpfuhlgraben für die Erschließung des Gewerbegebiet Heinersdorf in Berlin Pankow (EpB-Gebiet 37)";656500;"Neubau eines S-Kanals in der Blankenburger Straße in Berlin-Pankow/Heinersdorf zwischen Blankenburger Straße 18 und Schmöckpfuhlgraben für die Erschließung des Gewerbegebiet Heinersdorf in Berlin Pankow (EpB-Gebiet 37)"
327;Infrastrukturförderung;Pankow;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";13159;"Blankenfelder Chaussee 7";2017;Bildungseinrichtungen;"Erweiterung und Neubau des Ausbildungsstandortes Blankenfelde der Berliner Forsten,";450000;"Erweiterung und Neubau des Ausbildungsstandortes Blankenfelde der Berliner Forsten,"
72;Infrastrukturförderung;Spandau;"Berliner Wasserbetriebe";13629;Rohrdamm;2013;"Anbindung von Gewerbebetrieben";"Hydraulische Erweiterung von Regenentwässerungsanlagen im Rahmen des Fahrbahnausbaus Rohrdamms von Nonnendammallee bis Motardstraße im Bezirk Spandau";221400;"Hydraulische Erweiterung von Regenentwässerungsanlagen im Rahmen des Fahrbahnausbaus Rohrdamms von Nonnendammallee bis Motardstraße im Bezirk Spandau"
330;Infrastrukturförderung;Pankow;"BA Pankow";13187;Pankow;2017;Regionalbudget;"Regionalbudget für Tourismus- und Regionalmarketing Berlin Pankow";116560;"Regionalbudget für Tourismus- und Regionalmarketing Berlin Pankow"
75;Infrastrukturförderung;Mitte;"Berliner Wasserbetriebe";10555;"Planstr. Block 903";2012;"Anbindung von Gewerbebetrieben";"Bau eines Mischwasserkanals im Zuge des Neubaus der Planstraße im Block 902";177371;"Bau eines Mischwasserkanals im Zuge des Neubaus der Planstraße im Block 902"
333;Infrastrukturförderung;Treptow-Köpenick;"BA Treptow-Köpenick";12549;Wuhlheide;2017;Regionalbudget;"Regionalbudget Parkmanagement Volks- und Waldpark Wuhlheide: Angebotsdarstellung und - entwicklung der verschiedenen Freizeiteinrichtungen im Park zur Förderung des überregionalen Tourismus";280000;"Regionalbudget Parkmanagement Volks- und Waldpark Wuhlheide: Angebotsdarstellung und - entwicklung der verschiedenen Freizeiteinrichtungen im Park zur Förderung des überregionalen Tourismus"
78;Infrastrukturförderung;Pankow;"Berliner Wasserbetriebe";13125;Wiltbergstraße;2013;"Anbindung von Gewerbebetrieben";"Neubau eines Schmutzwasserkanals im Rahmen des Fahrbahnausbaus der Wiltbergstraße in Pankow";368868;"Neubau eines Schmutzwasserkanals im Rahmen des Fahrbahnausbaus der Wiltbergstraße in Pankow"
336;Infrastrukturförderung;Lichtenberg;"BA Lichtenberg";10367;Lichtenberg;2018;Regionalmanagement;"Regionalmanagement Gesundheitswirtschaft in Lichtenberg -Entwicklung von Verbundmaßnahmen zum Aufbau eines Regionalnetzwerkes-";187500;"Regionalmanagement Gesundheitswirtschaft in Lichtenberg -Entwicklung von Verbundmaßnahmen zum Aufbau eines Regionalnetzwerkes-"
81;Infrastrukturförderung;Mitte;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";10117;"Bodestraße, Am Kupfergraben";2014;Tourismus;"Tourismusnahe Umgestaltung des Umfeldes der Museumsinsel 1. BA (Abschnitt Am Kupfergraben und Bodestraße)";2275034;"Tourismusnahe Umgestaltung des Umfeldes der Museumsinsel 1. BA (Abschnitt Am Kupfergraben und Bodestraße)"
339;Infrastrukturförderung;Treptow-Köpenick;"Berliner Wasserbetriebe";12439;Adlershof;2017;"Anbindung von Gewerbebetrieben";"Neubau von Anlagen zur Trinkwasserversorgung in den Planstraßen A und B mit Anschluß an den Groß- Berliner Damm in Berlin Johannisthal; BWB Projekt-Nr.: 15/15-0045";400000;"Neubau von Anlagen zur Trinkwasserversorgung in den Planstraßen A und B mit Anschluß an den Groß- Berliner Damm in Berlin Johannisthal; BWB Projekt-Nr.: 15/15-0045"
84;Infrastrukturförderung;Steglitz-Zehlendorf;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12249;"Mühlenstraße, Gallwitzallee, Sonderhauser Straße";2016;Tourismus;"Radfernweg Berlin-Leipzig, 15. -23. Bauabschnitt in 12249 sowie 12209 Berlin Steglitz-Zehlendorf (OT Lankwitz und Lichterfelde)";634500;"Radfernweg Berlin-Leipzig, 15. -23. Bauabschnitt in 12249 sowie 12209 Berlin Steglitz-Zehlendorf (OT Lankwitz und Lichterfelde)"
342;Infrastrukturförderung;Treptow-Köpenick;"Berliner Wasserbetriebe";12439;Adlershof;2017;"Anbindung von Gewerbebetrieben";"Neubau von Schmutzwasserentsorgungsanlagen in den Planstraßen A und B mit Anschluß an den Groß - Berliner - Damm in Berlin Johannisthal; BWB Projekt-Nr.: 15/15-0045";675000;"Neubau von Schmutzwasserentsorgungsanlagen in den Planstraßen A und B mit Anschluß an den Groß - Berliner - Damm in Berlin Johannisthal; BWB Projekt-Nr.: 15/15-0045"
87;Infrastrukturförderung;Steglitz-Zehlendorf;"Grün Berlin GmbH";14109;"Königstraße 36";2016;Tourismus;"Errichtung des ""Tourismus-Besucher-Zentrum Glienicke"" (TBZ Glienicke)";4936387;"Errichtung des ""Tourismus-Besucher-Zentrum Glienicke"" (TBZ Glienicke)"
345;Infrastrukturförderung;Friedrichshain-Kreuzberg;"BA Friedrichshain-Kreuzberg";10243;Mühlenstraße;2017;Tourismus;"Tourismusnaher Ausbau des südlichen Gehwegs an der East- Side- Gallery in der Mühlenstraße von Straße der Pariser Kommune bis ""Am Oberbaum""";2532600;"Tourismusnaher Ausbau des südlichen Gehwegs an der East- Side- Gallery in der Mühlenstraße von Straße der Pariser Kommune bis ""Am Oberbaum"""
90;Infrastrukturförderung;Treptow-Köpenick;"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz";12167;Treptow-Köpenick;2014;Tourismus;"Dahme-Radfernweg, 1. bis 5. Teilabschnitt im Bereich des Berliner Bauabschnitts des Dahme-Radfernweges";558000;"Dahme-Radfernweg, 1. bis 5. Teilabschnitt im Bereich des Berliner Bauabschnitts des Dahme-Radfernweges"
